+1,japan firm plan sell u farmland japanes morioka japan march 12 japanes real estat compani said launch campaign sell land u farm area rich japanes higashi nippon hous said would offer around 2 200 acr land illinoi california florida indiana earli april gaug respons set intern farm corp america chicago last septemb overse oper american farmer would continu work tenant part profit harvest rice corn soybean orang would go japanes investor rental japanes agricultur ministri offici told reuter sale limit farmer keep land agricultur use two year ago began seek farmland japan said isao nakamura presid higashi nippon howev sale japanes farmland strictli control govern began look land u make dream farm land come true nakamura said hundr compani exist u sell farmland investor farmer face difficulti due recess u agricultur reuter 
-1,north bh set one five offer norgold float melbourn march 12 north broken hill hold ltd lt nbha nbh said offer one lt norgold ltd share everi five nbh share float newli creat gold offshoot 20 cent par valu share offer 22 cent sharehold regist april 3 nbh said statement norgold issu capit 240 5 mln share 63 pct held nbh 89 mln issu sharehold rais 19 6 mln dlr said norgold take control portfolio preciou metal explor pre develop interest held nbh major gold deposit acquir norgold 100 pct bottl creek deposit west leonora western australia nbh said product gold project annual rate 35 000 ounc schedul begin earli 1988 norgold also 10 pct stake coron hill gold platinum project northern territori 43 pct poona copper gold project south australia gold explor interest acquir norgold western australia queensland new south wale tasmania nbh said reuter 
-1,outokumpu copper deal iberica del cobr helsinki june 26 finland state own mine compani outokumpu oy said statement enter spanish market sharehold iberica del cobr manufactur copper product outokumpu acquir 21 pct share spanish compani compani set agent outokumpu spain deal await approv spanish govern iberica del cobr make tube rod roll drawn copper alloy product sale 87 000 tonn output 1986 amount 22 billion peseta outokumpu turnov 1986 7 58 billion markka reuter 
+1,rotterdam grain handler say port balanc rose rotterdam april 13 graan elev mij gem said balanc port grain oilse deriv rose 146 000 tonn april 11 111 000 week earlier arriv 404 000 tonn discharg 369 000 tonn last week balanc compris 21 000 tonn grain plu oilse 125 000 tonn deriv week estim arriv total 274 000 tonn 71 000 grain oilse 203 000 deriv figur cover around 95 pct rotterdam traffic product concern reuter 
+1,u senat panel vote limit counti loan rate chang start 1988 crop date text 
+1,ussr seen like honor corn commit washington march 9 soviet union like honor commit unit state buy minimum four mln tonn corn year agricultur depart offici said alway honour agreement reason think year told reuter aggress buy campaign european commun canada u activ buyer sourc point offici said explain depart rais soviet grain import estim today three mln tonn 26 mln tonn dramat shift month ago analyst say ussr might buy u corn first time 15 year drawdown corn suppli china argentina concern soviet winter crop increas competit u corn cite possibl factor creat moscow recent interest lower corn product prospect major suppli countri stir activ big buyer japan soviet also close watch situat offici said soviet tri capit capitalist buy corn price get high offici said soon need corn buy ad usda confirm one mln tonn corn sold soviet union u soviet analyst said purchas stand 1 5 mln tonn usda offici would specul soviet would enter u market definit evolv mind set situat slow grain buy coupl month ago one frenet buy offici said howev situat wheat differ stori said greater world suppli wheat heavier soviet purchas commit less competit u wheat price make soviet purchas u wheat less like said specul continu sever day u consid make export bonu wheat subsidi offer soviet u offici provid confirm reuter 
-1,london gold morn fix highest sinc octob london april 13 gold bullion continu move higher support good gener buy fix morn 436 50 dlr 268 368 stg ounc friday close 432 00 50 dealer said set highest sinc octob 8 gold built friday gain base weak dollar fear trade war unit state japan open slightli firmer 433 50 434 00 move steadili morn support commiss hous trade buy dealer said dealer said resist around 440 00 sentiment still firm trader believ ralli may even take gold high 500 dlr platinum fix morn 583 50 dlr ounc friday close 578 50 580 50 also highest set sinc octob reuter 
+1,u k wheat barley export adjust upward london march 3 u k export 535 460 tonn wheat 336 750 tonn barley januari home grown cereal author hgca said quot adjust custom excis figur base previou januari figur issu februari 9 wheat export increas nearli 64 000 tonn barley 7 000 tonn new figur bring cumul w heat export period juli 1 februari 13 2 99 mln tonn barley 2 96 mln compar 1 25 1 89 mln tonn respect year ago januari wheat export compris 251 000 tonn european commun destin 284 000 tonn third countri soviet union promin third countri destin take 167 700 tonn poland credit 54 500 south korea 50 000 tonn itali largest ec recipi 75 000 tonn follow west germani 55 200 franc 52 000 tonn barley export januari compris 103 700 tonn ec 233 000 third countri soviet union largest singl import 133 265 tonn follow saudi arabia 53 800 tonn reuter 
-1,africa mine manag face charg disast johannesburg march 5 seven manag employe gener mine union corp ltd kinross mine ltd face charg culpabl homicid follow last year disast 177 gold miner die attorney gener offic said minework kill last septemb kinross fire set toxic fume suffoc miner underground three accus face altern charg break safeti regul set mine work act spokesman said case would probabl heard witbank region court near kinross mid may reuter 
+1,sugar quota import detail usda washington feb 26 u agricultur depart said cumul sugar import individu countri 1987 quota year began januari 1 1987 end decemb 31 1987 follow quota alloc quota year short ton raw valu cumul quota 1987 import alloc argentina nil 39 130 australia nil 75 530 barbado nil 7 500 beliz nil 10 010 bolivia nil 7 500 brazil nil 131 950 canada nil 18 876 quota 1987 import alloc colombia 103 21 840 congo nil 7 599 costa rica nil 17 583 ivori coast nil 7 500 dom rep 5 848 160 160 ecuador nil 10 010 el salvador nil 26 019 8 fiji nil 25 190 gabon nil 7 500 quota 1987 import alloc guatemala nil 43 680 guyana nil 10 920 haiti nil 7 500 hondura nil 15 917 2 india nil 7 500 jamaica nil 10 010 madagascar nil 7 500 malawi nil 9 100 quota 1987 import alloc mauritiu nil 10 920 mexico 37 7 500 mozambiqu nil 11 830 panama nil 26 390 papua new guinea nil 7 500 paraguay nil 7 500 peru nil 37 310 philippin nil 143 780 st christoph nevi nil 7 500 quota 1987 import alloc swaziland nil 14 560 taiwan nil 10 920 thailand nil 12 740 trinidad tobago nil 7 500 uruguay nil 7 500 zimbabw nil 10 920 reuter 
+1,london cocoa trade low midmorn london april 3 cocoa futur fell session low midmorn post loss last night six two stg tonn 1987 deliveri dealer said weekend profittak jobber gener book squar featur fall aid steadi sterl versu dollar lack offtak physic market dealer said market switch straddl bound pressur one particular month certain reflect adjac deliveri underton howev remain cautiou oper await eventu start icco buffer stock buy dealer said market origin forecast open averag five stg gain last night follow new york firmer close yesterday dealer said larg counter balanc currenc factor near juli trade session low 1 327 stg one hour versu 1 333 bid last night earli high 1 335 volum midmorn 730 lot includ 350 lot cross 108 switch sign origin activ reuter 
